iter	Passed	Remaining
660	837	429
661	838	428
662	839	426
663	840	425
664	841	423
665	842	422
666	843	421
667	844	419
668	845	418
669	847	417
670	848	416
671	849	414
672	850	413
673	851	411
674	852	410
675	853	409
676	854	407
677	855	406
678	856	404
679	856	403
680	857	401
681	858	400
682	859	399
683	861	397
684	863	397
685	864	395
686	865	394
687	866	392
688	867	391
689	868	390
690	869	388
691	870	387
692	871	385
693	872	384
694	873	383
695	874	381
696	875	380
697	877	379
698	878	378
699	879	376
700	880	375
701	881	374
702	882	372
703	883	371
704	883	369
705	884	368
706	885	366
707	886	365
708	887	364
709	888	362
710	889	361
711	890	360
712	892	359
713	893	357
714	894	356
715	894	354
716	895	353
717	896	352
718	897	350
719	898	349
720	899	348
721	900	346
722	901	345
723	901	343
724	902	342
725	903	341
726	904	339
727	906	338
728	908	337
729	909	336
730	910	334
731	911	333
732	911	332
733	912	330
734	913	329
735	914	327
736	915	326
737	916	325
738	916	323
739	917	322
740	918	321
741	919	319
742	922	318
743	923	317
744	923	316
745	924	314
746	925	313
747	926	312
748	927	310
749	928	309
750	928	307
751	929	306
752	930	305
753	931	303
754	932	302
755	933	301
756	933	299
757	935	298
758	936	297
759	937	296
760	938	294
761	939	293
762	940	292
763	941	290
764	941	289
765	942	287
766	943	286
767	944	285
768	945	284
769	946	282
770	947	281
771	947	279
772	948	278
773	950	277
774	952	276
775	953	275
776	954	273
777	955	272
778	956	271
779	956	269
780	957	268
781	958	267
782	959	265
783	960	264
784	961	263
785	962	261
786	962	260
787	963	259
788	965	258
789	967	257
790	967	255
791	968	254
792	969	253
793	970	251
794	971	250
795	972	249
796	972	247
797	973	246
798	974	245
799	975	243
800	976	242
801	977	241
802	977	239
803	978	238
804	979	237
805	981	236
806	983	235
807	984	233
808	985	232
809	985	231
810	986	229
811	987	228
812	988	227
813	989	226
814	990	224
815	991	223
816	991	222
817	992	220
818	993	219
819	994	218
820	997	217
821	998	216
822	999	214
823	1000	213
824	1001	212
825	1002	211
826	1003	209
827	1003	208
828	1004	207
829	1005	205
830	1006	204
831	1007	203
832	1008	202
833	1009	200
834	1010	199
835	1012	198
836	1013	197
837	1014	196
838	1015	194
839	1016	193
840	1017	192
841	1017	191
842	1018	189
843	1019	188
844	1020	187
845	1021	185
846	1022	184
847	1022	183
848	1023	182
849	1025	180
850	1026	179
851	1028	178
852	1029	177
853	1030	176
854	1030	174
855	1031	173
856	1032	172
857	1033	171
858	1034	169
859	1035	168
860	1036	167
861	1037	166
862	1038	164
863	1044	164
864	1046	163
865	1047	162
866	1048	160
867	1049	159
868	1050	158
869	1051	157
870	1052	155
871	1053	154
872	1055	153
873	1057	152
874	1058	151
875	1059	149
876	1060	148
877	1061	147
878	1061	146
879	1062	144
880	1063	143
881	1064	142
882	1065	141
883	1066	139
884	1067	138
885	1068	137
886	1071	136
887	1072	135
888	1073	134
889	1074	132
890	1075	131
891	1077	130
892	1078	129
893	1079	127
894	1080	126
895	1081	125
896	1082	124
897	1083	123
898	1085	121
899	1088	120
900	1090	119
901	1091	118
902	1093	117
903	1094	116
904	1095	114
905	1096	113
906	1097	112
907	1098	111
908	1103	110
909	1105	109
910	1106	108
911	1107	106
912	1108	105
913	1109	104
914	1109	103
915	1110	101
916	1111	100
917	1113	99
918	1114	98
919	1115	97
920	1117	95
921	1118	94
922	1119	93
923	1120	92
924	1121	90
925	1122	89
926	1123	88
927	1124	87
928	1125	86
929	1126	84
930	1127	83
931	1128	82
932	1129	81
933	1132	80
934	1134	78
935	1134	77
936	1135	76
937	1136	75
938	1137	73
939	1138	72
940	1139	71
941	1140	70
942	1141	69
943	1142	67
944	1143	66
945	1144	65
946	1147	64
947	1148	63
948	1149	61
949	1150	60
950	1151	59
951	1152	58
952	1154	56
953	1155	55
954	1156	54
955	1157	53
956	1158	52
957	1161	50
958	1163	49
959	1164	48
960	1166	47
961	1167	46
962	1168	44
963	1168	43
964	1170	42
965	1172	41
966	1173	40
967	1175	38
968	1177	37
969	1178	36
970	1179	35
971	1181	34
972	1182	32
973	1183	31
974	1184	30
975	1185	29
976	1186	27
977	1187	26
978	1187	25
979	1188	24
980	1191	23
981	1193	21
982	1194	20
983	1195	19
984	1196	18
985	1197	17
986	1198	15
987	1199	14
988	1200	13
989	1201	12
990	1202	10
991	1203	9
992	1206	8
993	1207	7
994	1209	6
995	1210	4
996	1211	3
997	1212	2
998	1212	1
999	1213	0
